"tree_id","latitude","longitude","tree_dbh","spc_common","health"
"206353","40.73755757","-73.97988058","10","honeylocust","Good"
"192612","40.71793249","-73.99103138","3","Oklahoma redbud","Good"
"154858","40.71797507","-73.9767896","18","Oklahoma redbud","Good"
"196044","40.74532453","-73.98061441","5","honeylocust","Fair"
"206354","40.73760555","-73.97999538","12","honeylocust","Good"
"206707","40.73918558","-73.9782806","15","honeylocust","Good"
"217185","40.74809588","-73.98184469","3","northern red oak","Good"
"206348","40.73718762","-73.97899539","8","honeylocust","Good"
"196045","40.7452758","-73.98064993","5","honeylocust","Good"
"206717","40.73880902","-73.97737833","2",,
"206358","40.73783262","-73.98053871","13","honeylocust","Good"
"190785","40.71545778","-73.99633259","4","cherry","Good"
"196040","40.7455413","-73.9804564","5","honeylocust","Fair"
"176892","40.73588974","-73.97910948","10","honeylocust","Good"
"206352","40.73749624","-73.97973384","10","honeylocust","Good"
"179626","40.72120241","-73.98931936","15","London planetree","Good"
"179544","40.72014319","-73.98993412","13","London planetree","Good"
